=== Fuzzer run 1 ===
[*] Exiting with code 1
=== Fuzzer run 1 ===
NEW    run: 29040 (1199/s), ft: 5414 (36/s), corp: 24 (362b), len:  2/14, t: 24s, mem: 89mb
NEW    run: 29056 (1199/s), ft: 5418 (37/s), corp: 24 (364b), len:  2/14, t: 24s, mem: 89mb
NEW    run: 29062 (1199/s), ft: 5422 (37/s), corp: 24 (366b), len:  2/14, t: 24s, mem: 89mb
NEW    run: 29200 (1199/s), ft: 5426 (37/s), corp: 24 (368b), len:  2/14, t: 24s, mem: 89mb
NEW    run: 29514 (1198/s), ft: 5430 (37/s), corp: 24 (370b), len:  2/14, t: 25s, mem: 90mb
NEW    run: 29605 (1198/s), ft: 5434 (37/s), corp: 24 (372b), len:  2/14, t: 25s, mem: 90mb
NEW    run: 29781 (1198/s), ft: 5438 (37/s), corp: 24 (374b), len:  2/14, t: 25s, mem: 90mb
NEW    run: 29827 (1197/s), ft: 5442 (37/s), corp: 24 (376b), len:  2/14, t: 25s, mem: 90mb
NEW    run: 29978 (1197/s), ft: 5446 (37/s), corp: 24 (378b), len:  2/14, t: 25s, mem: 90mb
NEW    run: 30060 (1197/s), ft: 5450 (37/s), corp: 24 (380b), len:  2/14, t: 25s, mem: 91mb
NEW    run: 30124 (1196/s), ft: 5454 (37/s), corp: 24 (382b), len:  2/14, t: 25s, mem: 91mb
NEW    run: 30290 (1194/s), ft: 5458 (37/s), corp: 24 (384b), len:  2/14, t: 25s, mem: 91mb
NEW    run: 30356 (1193/s), ft: 5462 (37/s), corp: 24 (386b), len:  2/14, t: 25s, mem: 91mb
NEW    run: 30382 (1192/s), ft: 5466 (37/s), corp: 24 (388b), len:  2/14, t: 25s, mem: 91mb
NEW    run: 30428 (1192/s), ft: 5470 (37/s), corp: 24 (390b), len:  2/14, t: 26s, mem: 91mb
NEW    run: 30624 (1191/s), ft: 5474 (37/s), corp: 24 (392b), len:  2/14, t: 26s, mem: 91mb
NEW    run: 30625 (1191/s), ft: 5478 (37/s), corp: 24 (394b), len:  2/14, t: 26s, mem: 91mb
NEW    run: 30626 (1191/s), ft: 5482 (37/s), corp: 24 (396b), len:  2/14, t: 26s, mem: 92mb
NEW    run: 30667 (1190/s), ft: 5486 (37/s), corp: 24 (398b), len:  2/14, t: 26s, mem: 92mb
NEW    run: 30708 (1190/s), ft: 5490 (37/s), corp: 24 (400b), len:  2/14, t: 26s, mem: 92mb
NEW    run: 30809 (1190/s), ft: 5494 (37/s), corp: 24 (402b), len:  2/14, t: 26s, mem: 92mb
NEW    run: 30870 (1189/s), ft: 5498 (37/s), corp: 24 (404b), len:  2/14, t: 26s, mem: 92mb
NEW    run: 30892 (1189/s), ft: 5502 (37/s), corp: 24 (406b), len:  2/14, t: 26s, mem: 92mb
NEW    run: 31018 (1189/s), ft: 5506 (37/s), corp: 24 (408b), len:  2/14, t: 26s, mem: 92mb
NEW    run: 31094 (1189/s), ft: 5510 (37/s), corp: 24 (410b), len:  2/14, t: 26s, mem: 93mb
NEW    run: 31163 (1189/s), ft: 5514 (38/s), corp: 24 (412b), len:  2/14, t: 26s, mem: 93mb
NEW    run: 31424 (1188/s), ft: 5518 (37/s), corp: 24 (414b), len:  2/14, t: 26s, mem: 93mb
NEW    run: 31555 (1188/s), ft: 5522 (37/s), corp: 24 (416b), len:  2/14, t: 27s, mem: 93mb
NEW    run: 31648 (1188/s), ft: 5526 (37/s), corp: 24 (418b), len:  2/14, t: 27s, mem: 93mb
NEW    run: 32056 (1187/s), ft: 5530 (37/s), corp: 24 (420b), len:  2/14, t: 27s, mem: 94mb
NEW    run: 32107 (1187/s), ft: 5534 (37/s), corp: 24 (422b), len:  2/14, t: 27s, mem: 94mb
NEW    run: 32123 (1187/s), ft: 5538 (37/s), corp: 24 (424b), len:  2/14, t: 27s, mem: 94mb
NEW    run: 32214 (1186/s), ft: 5542 (37/s), corp: 24 (426b), len:  2/14, t: 27s, mem: 94mb
NEW    run: 32410 (1186/s), ft: 5546 (37/s), corp: 24 (428b), len:  2/14, t: 27s, mem: 94mb
NEW    run: 32496 (1185/s), ft: 5550 (37/s), corp: 24 (430b), len:  2/14, t: 27s, mem: 94mb
NEW    run: 32773 (1185/s), ft: 5554 (37/s), corp: 24 (432b), len:  2/14, t: 28s, mem: 95mb
NEW    run: 32859 (1185/s), ft: 5558 (37/s), corp: 24 (434b), len:  2/14, t: 28s, mem: 95mb
NEW    run: 32957 (1185/s), ft: 5562 (37/s), corp: 24 (436b), len:  2/14, t: 28s, mem: 95mb
NEW    run: 32973 (1185/s), ft: 5566 (37/s), corp: 24 (438b), len:  2/14, t: 28s, mem: 95mb
NEW    run: 32981 (1185/s), ft: 5570 (37/s), corp: 24 (440b), len:  2/14, t: 28s, mem: 95mb
NEW    run: 33048 (1184/s), ft: 5574 (37/s), corp: 24 (442b), len:  2/14, t: 28s, mem: 95mb
NEW    run: 33129 (1184/s), ft: 5578 (37/s), corp: 24 (444b), len:  2/14, t: 28s, mem: 95mb
NEW    run: 33386 (1183/s), ft: 5582 (37/s), corp: 24 (446b), len:  2/14, t: 28s, mem: 96mb
NEW    run: 33457 (1183/s), ft: 5586 (37/s), corp: 24 (448b), len:  2/14, t: 28s, mem: 96mb
NEW    run: 33858 (1181/s), ft: 5590 (37/s), corp: 24 (450b), len:  2/14, t: 29s, mem: 96mb
NEW    run: 34170 (1180/s), ft: 5594 (37/s), corp: 24 (452b), len:  2/14, t: 29s, mem: 96mb
NEW    run: 34276 (1180/s), ft: 5598 (37/s), corp: 24 (454b), len:  2/14, t: 29s, mem: 97mb
NEW    run: 34652 (1179/s), ft: 5602 (36/s), corp: 24 (456b), len:  2/14, t: 29s, mem: 97mb
NEW    run: 34754 (1178/s), ft: 5606 (36/s), corp: 24 (458b), len:  2/14, t: 29s, mem: 97mb
NEW    run: 34911 (1178/s), ft: 5610 (36/s), corp: 24 (460b), len:  2/14, t: 30s, mem: 97mb
NEW    run: 34957 (1177/s), ft: 5614 (37/s), corp: 24 (462b), len:  2/14, t: 30s, mem: 97mb
NEW    run: 35073 (1177/s), ft: 5618 (37/s), corp: 24 (464b), len:  2/14, t: 30s, mem: 97mb
NEW    run: 35159 (1177/s), ft: 5622 (37/s), corp: 24 (466b), len:  2/14, t: 30s, mem: 98mb
NEW    run: 35265 (1176/s), ft: 5626 (37/s), corp: 24 (468b), len:  2/14, t: 30s, mem: 98mb
NEW    run: 35381 (1177/s), ft: 5630 (37/s), corp: 24 (470b), len:  2/14, t: 30s, mem: 98mb
NEW    run: 35392 (1177/s), ft: 5634 (37/s), corp: 24 (472b), len:  2/14, t: 30s, mem: 98mb
NEW    run: 35393 (1177/s), ft: 5638 (37/s), corp: 24 (474b), len:  2/14, t: 30s, mem: 98mb
NEW    run: 35474 (1176/s), ft: 5642 (37/s), corp: 24 (476b), len:  2/14, t: 30s, mem: 98mb
NEW    run: 35505 (1176/s), ft: 5646 (37/s), corp: 24 (478b), len:  2/14, t: 30s, mem: 98mb
NEW    run: 35526 (1176/s), ft: 5650 (37/s), corp: 24 (480b), len:  2/14, t: 30s, mem: 98mb
NEW    run: 35592 (1175/s), ft: 5654 (37/s), corp: 24 (482b), len:  2/14, t: 30s, mem: 99mb
NEW    run: 35643 (1175/s), ft: 5658 (37/s), corp: 24 (484b), len:  2/14, t: 30s, mem: 99mb
NEW    run: 35689 (1175/s), ft: 5662 (37/s), corp: 24 (486b), len:  2/14, t: 30s, mem: 99mb
NEW    run: 35695 (1175/s), ft: 5666 (37/s), corp: 24 (488b), len:  2/14, t: 30s, mem: 99mb
NEW    run: 35736 (1175/s), ft: 5670 (37/s), corp: 24 (490b), len:  2/14, t: 30s, mem: 99mb
NEW    run: 35762 (1175/s), ft: 5674 (38/s), corp: 24 (492b), len:  2/14, t: 30s, mem: 99mb
NEW    run: 35770 (1175/s), ft: 5678 (38/s), corp: 24 (494b), len:  2/14, t: 30s, mem: 99mb
NEW    run: 35797 (1175/s), ft: 5682 (38/s), corp: 24 (496b), len:  2/14, t: 30s, mem: 99mb
NEW    run: 35858 (1175/s), ft: 5686 (38/s), corp: 24 (498b), len:  2/14, t: 31s, mem: 99mb
NEW    run: 35914 (1175/s), ft: 5690 (38/s), corp: 24 (500b), len:  2/14, t: 31s, mem: 100mb
