run_id,t,coverage,corpus_size
run_3,0.95,2562,239
run_4,0.95,2649,254
run_5,0.95,2562,239
run_6,0.95,2649,254
run_7,0.95,2649,254
run_8,0.95,2649,254
run_9,0.95,2562,239
run_10,0.95,2649,254
run_1,0.96,2649,254
run_2,0.96,2562,239
run_3,0.96,2562,239
run_4,0.96,2649,254
run_5,0.96,2562,239
run_6,0.96,2649,254
run_7,0.96,2649,254
run_8,0.96,2649,254
run_9,0.96,2649,254
run_10,0.96,2649,254
run_1,0.97,2649,254
run_2,0.97,2649,254
run_3,0.97,2562,239
run_4,0.97,2649,254
run_5,0.97,2562,239
run_6,0.97,2649,254
run_7,0.97,2649,254
run_8,0.97,2649,254
run_9,0.97,2649,254
run_10,0.97,2649,254
run_1,0.98,2649,254
run_2,0.98,2649,254
run_3,0.98,2562,239
run_4,0.98,2649,254
run_5,0.98,2649,254
run_6,0.98,2649,254
run_7,0.98,2649,254
run_8,0.98,2649,254
run_9,0.98,2649,254
run_10,0.98,2649,254
run_1,1,2649,254
run_2,1,2649,254
run_3,1,2562,239
run_4,1,2649,254
run_5,1,2649,254
run_6,1,2687,265
run_7,1,2649,254
run_8,1,2649,254
run_9,1,2649,254
run_10,1,2649,254
run_1,1.02,2649,254
run_2,1.02,2649,254
run_3,1.02,2562,239
run_4,1.02,2687,265
run_5,1.02,2649,254
run_6,1.02,2687,265
run_7,1.02,2687,265
run_8,1.02,2649,254
run_9,1.02,2649,254
run_10,1.02,2649,254
run_1,1.03,2649,254
run_2,1.03,2649,254
run_3,1.03,2562,239
run_4,1.03,2687,265
run_5,1.03,2649,254
run_6,1.03,2687,265
run_7,1.03,2687,265
run_8,1.03,2687,265
run_9,1.03,2649,254
run_10,1.03,2687,265
run_1,1.06,2687,265
run_2,1.06,2649,254
run_3,1.06,2562,239
run_4,1.06,2687,265
run_5,1.06,2649,254
run_6,1.06,2687,265
run_7,1.06,2687,265
run_8,1.06,2687,265
run_9,1.06,2649,254
run_10,1.06,2687,265
run_1,1.09,2687,265
run_2,1.09,2687,265
run_3,1.09,2562,239
run_4,1.09,2687,265
run_5,1.09,2687,265
run_6,1.09,2687,265
run_7,1.09,2687,265
run_8,1.09,2687,265
run_9,1.09,2649,254
run_10,1.09,2687,265
run_1,1.11,2687,265
