run_id,t,coverage,corpus_size
run_10,5.5,4707,20
run_1,5.63,4793,22
run_2,5.63,4777,26
run_3,5.63,4718,22
run_4,5.63,4727,21
run_5,5.63,4781,19
run_6,5.63,4776,23
run_7,5.63,4721,21
run_8,5.63,4733,23
run_9,5.63,4788,23
run_10,5.63,4707,20
run_1,5.72,4793,22
run_2,5.72,4777,26
run_3,5.72,4718,22
run_4,5.72,4727,21
run_5,5.72,4781,19
run_6,5.72,4776,23
run_7,5.72,4721,21
run_8,5.72,4733,23
run_9,5.72,4788,23
run_10,5.72,4707,20
run_1,5.77,4793,22
run_2,5.77,4777,26
run_3,5.77,4718,22
run_4,5.77,4727,21
run_5,5.77,4781,19
run_6,5.77,4776,23
run_7,5.77,4721,21
run_8,5.77,4733,23
run_9,5.77,4788,23
run_10,5.77,4707,20
run_1,5.85,4793,22
run_2,5.85,4777,26
run_3,5.85,4718,22
run_4,5.85,4727,21
run_5,5.85,4781,19
run_6,5.85,4776,23
run_7,5.85,4721,21
run_8,5.85,4733,23
run_9,5.85,4788,23
run_10,5.85,4707,20
run_1,6.13,4793,22
run_2,6.13,4794,26
run_3,6.13,4718,22
run_4,6.13,4727,21
run_5,6.13,4781,19
run_6,6.13,4776,23
run_7,6.13,4721,21
run_8,6.13,4733,23
run_9,6.13,4788,23
run_10,6.13,4707,20
run_1,6.17,4793,22
run_2,6.17,4794,26
run_3,6.17,4718,22
run_4,6.17,4727,21
run_5,6.17,4781,19
run_6,6.17,4776,23
run_7,6.17,4721,21
run_8,6.17,4741,23
run_9,6.17,4788,23
run_10,6.17,4707,20
run_1,6.22,4793,22
run_2,6.22,4794,26
run_3,6.22,4718,22
run_4,6.22,4727,21
run_5,6.22,4781,19
run_6,6.22,4776,23
run_7,6.22,4721,21
run_8,6.22,4741,23
run_9,6.22,4788,23
run_10,6.22,4707,20
run_1,6.24,4793,22
run_2,6.24,4794,26
run_3,6.24,4718,22
run_4,6.24,4727,21
run_5,6.24,4781,19
run_6,6.24,4776,23
run_7,6.24,4721,21
run_8,6.24,4741,23
run_9,6.24,4788,23
run_10,6.24,4707,20
run_1,6.38,4793,22
run_2,6.38,4794,26
run_3,6.38,4718,22
run_4,6.38,4727,21
run_5,6.38,4781,19
run_6,6.38,4776,23
run_7,6.38,4721,21
run_8,6.38,4741,23
run_9,6.38,4808,23
run_10,6.38,4707,20
run_1,6.65,4793,22
run_2,6.65,4794,26
run_3,6.65,4718,22
run_4,6.65,4743,21
run_5,6.65,4781,19
run_6,6.65,4776,23
run_7,6.65,4721,21
run_8,6.65,4741,23
run_9,6.65,4808,23
run_10,6.65,4707,20
run_1,6.69,4793,22
run_2,6.69,4794,26
run_3,6.69,4718,22
run_4,6.69,4743,21
run_5,6.69,4785,19
run_6,6.69,4776,23
run_7,6.69,4757,21
run_8,6.69,4741,23
run_9,6.69,4808,23
run_10,6.69,4707,20
run_1,6.71,4793,22
run_2,6.71,4794,26
run_3,6.71,4718,22
run_4,6.71,4743,21
run_5,6.71,4785,19
run_6,6.71,4776,23
run_7,6.71,4757,21
run_8,6.71,4741,23
run_9,6.71,4808,23
run_10,6.71,4707,20
run_1,6.79,4793,22
run_2,6.79,4794,26
run_3,6.79,4718,22
run_4,6.79,4743,21
run_5,6.79,4785,19
run_6,6.79,4776,23
run_7,6.79,4757,21
run_8,6.79,4741,23
run_9,6.79,4808,23
run_10,6.79,4707,20
run_1,7.12,4793,22
run_2,7.12,4794,26
run_3,7.12,4718,22
run_4,7.12,4743,21
run_5,7.12,4785,19
run_6,7.12,4776,23
run_7,7.12,4757,21
run_8,7.12,4741,23
run_9,7.12,4808,23
run_10,7.12,4707,20
run_1,7.16,4793,22
run_2,7.16,4806,26
run_3,7.16,4718,22
run_4,7.16,4743,21
run_5,7.16,4785,19
run_6,7.16,4776,23
run_7,7.16,4757,21
run_8,7.16,4757,23
run_9,7.16,4808,23
run_10,7.16,4707,20
run_1,7.17,4793,22
run_2,7.17,4806,26
run_3,7.17,4722,22
run_4,7.17,4743,21
run_5,7.17,4785,19
run_6,7.17,4776,23
run_7,7.17,4757,21
run_8,7.17,4757,23
run_9,7.17,4808,23
run_10,7.17,4707,20
run_1,7.35,4793,22
run_2,7.35,4806,26
run_3,7.35,4722,22
run_4,7.35,4743,21
run_5,7.35,4785,19
run_6,7.35,4776,23
run_7,7.35,4757,21
run_8,7.35,4757,23
run_9,7.35,4808,23
run_10,7.35,4707,20
run_1,7.63,4793,22
run_2,7.63,4806,26
run_3,7.63,4722,22
run_4,7.63,4751,21
run_5,7.63,4785,19
run_6,7.63,4776,23
run_7,7.63,4757,21
run_8,7.63,4757,23
run_9,7.63,4808,23
run_10,7.63,4707,20
run_1,7.64,4793,22
run_2,7.64,4806,26
run_3,7.64,4722,22
run_4,7.64,4751,21
run_5,7.64,4785,19
run_6,7.64,4776,23
run_7,7.64,4773,21
run_8,7.64,4757,23
run_9,7.64,4808,23
run_10,7.64,4707,20
run_1,7.71,4793,22
run_2,7.71,4806,26
run_3,7.71,4722,22
run_4,7.71,4751,21
run_5,7.71,4785,19
run_6,7.71,4776,23
run_7,7.71,4773,21
run_8,7.71,4757,23
run_9,7.71,4808,23
run_10,7.71,4718,20
run_1,7.79,4793,22
run_2,7.79,4806,26
run_3,7.79,4722,22
run_4,7.79,4751,21
run_5,7.79,4797,19
run_6,7.79,4776,23
run_7,7.79,4773,21
run_8,7.79,4757,23
run_9,7.79,4808,23
run_10,7.79,4718,20
run_1,8.05,4793,22
run_2,8.05,4806,26
run_3,8.05,4722,22
run_4,8.05,4751,21
run_5,8.05,4797,19
run_6,8.05,4776,23
run_7,8.05,4773,21
run_8,8.05,4757,23
run_9,8.05,4808,23
run_10,8.05,4718,20
run_1,8.09,4793,22
run_2,8.09,4806,26
run_3,8.09,4722,22
run_4,8.09,4751,21
run_5,8.09,4797,19
run_6,8.09,4776,23
run_7,8.09,4773,21
run_8,8.09,4757,23
run_9,8.09,4808,23
run_10,8.09,4718,20
run_1,8.12,4793,22
run_2,8.12,4806,26
run_3,8.12,4722,22
run_4,8.12,4751,21
run_5,8.12,4797,19
run_6,8.12,4776,23
run_7,8.12,4773,21
run_8,8.12,4757,23
run_9,8.12,4808,23
run_10,8.12,4718,20
run_1,8.25,4793,22
run_2,8.25,4810,25
run_3,8.25,4722,22
run_4,8.25,4751,21
run_5,8.25,4797,19
run_6,8.25,4776,23
run_7,8.25,4773,21
run_8,8.25,4757,23
run_9,8.25,4808,23
run_10,8.25,4718,20
run_1,8.35,4793,22
run_2,8.35,4810,25
run_3,8.35,4722,22
run_4,8.35,4751,21
run_5,8.35,4797,19
run_6,8.35,4776,23
run_7,8.35,4773,21
run_8,8.35,4757,23
run_9,8.35,4816,23
run_10,8.35,4718,20
run_1,8.38,4793,22
run_2,8.38,4810,25
run_3,8.38,4726,22
run_4,8.38,4751,21
run_5,8.38,4797,19
run_6,8.38,4776,23
run_7,8.38,4773,21
run_8,8.38,4757,23
run_9,8.38,4816,23
run_10,8.38,4718,20
run_1,8.66,4793,22
run_2,8.66,4810,25
run_3,8.66,4726,22
run_4,8.66,4751,21
run_5,8.66,4797,19
run_6,8.66,4776,23
run_7,8.66,4801,21
run_8,8.66,4757,23
run_9,8.66,4816,23
run_10,8.66,4718,20
run_1,8.74,4793,22
run_2,8.74,4810,25
run_3,8.74,4726,22
run_4,8.74,4759,21
run_5,8.74,4797,19
run_6,8.74,4776,23
run_7,8.74,4801,21
run_8,8.74,4757,23
run_9,8.74,4816,23
run_10,8.74,4723,20
run_1,8.9,4793,22
run_2,8.9,4810,25
run_3,8.9,4726,22
run_4,8.9,4759,21
run_5,8.9,4797,19
run_6,8.9,4776,23
run_7,8.9,4801,21
run_8,8.9,4757,23
run_9,8.9,4816,23
run_10,8.9,4723,20
run_1,9.13,4793,22
run_2,9.13,4810,25
run_3,9.13,4726,22
run_4,9.13,4759,21
run_5,9.13,4809,19
run_6,9.13,4776,23
run_7,9.13,4801,21
run_8,9.13,4769,23
run_9,9.13,4816,23
run_10,9.13,4723,20
run_1,9.33,4793,22
run_2,9.33,4810,25
run_3,9.33,4726,22
run_4,9.33,4759,21
run_5,9.33,4809,19
run_6,9.33,4776,23
run_7,9.33,4801,21
run_8,9.33,4769,23
run_9,9.33,4816,23
run_10,9.33,4723,20
run_1,9.34,4793,22
run_2,9.34,4814,25
run_3,9.34,4726,22
run_4,9.34,4759,21
run_5,9.34,4809,19
run_6,9.34,4776,23
run_7,9.34,4801,21
run_8,9.34,4769,23
run_9,9.34,4816,23
run_10,9.34,4723,20
run_1,9.35,4793,22
run_2,9.35,4814,25
run_3,9.35,4726,22
run_4,9.35,4759,21
run_5,9.35,4809,19
run_6,9.35,4776,23
run_7,9.35,4801,21
run_8,9.35,4769,23
run_9,9.35,4828,23
run_10,9.35,4723,20
run_1,9.5,4793,22
run_2,9.5,4814,25
run_3,9.5,4730,22
run_4,9.5,4759,21
run_5,9.5,4809,19
run_6,9.5,4776,23
run_7,9.5,4801,21
run_8,9.5,4769,23
run_9,9.5,4828,23
run_10,9.5,4723,20
run_1,9.7,4793,22
run_2,9.7,4814,25
run_3,9.7,4730,22
run_4,9.7,4767,21
run_5,9.7,4809,19
run_6,9.7,4776,23
run_7,9.7,4801,21
run_8,9.7,4769,23
run_9,9.7,4828,23
run_10,9.7,4723,20
run_1,9.71,4793,22
run_2,9.71,4814,25
run_3,9.71,4730,22
run_4,9.71,4767,21
run_5,9.71,4809,19
run_6,9.71,4776,23
